"obligations_incurred_by_program_object_class_cpe","reporting_period_start","budget_function_code","budget_function_title","budget_subfunction_code","budget_subfunction_title","major_object_class","major_object_class_name","object_class","object_class_name"
731635.23,"2018-04-01","400","Transportation","401","Ground transportation","10","Personnel compensation and benefits","130","Benefits for former personnel"
824658.35,"2018-04-01","150","International Affairs","155","International financial programs","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
3821.38,"2018-04-01","800","General Government","802","Executive direction and management","40","Grants and fixed charges","420","Insurance claims and indemnities"
10918456.64,"2018-04-01","050","National Defense","051","Department of Defense-Military","20","Contractual services and supplies","252","Other services from non-Federal sources"
1936.35,"2018-04-01","150","International Affairs","155","International financial programs","10","Personnel compensation and benefits","121","Civilian personnel benefits"
31626.42,"2018-04-01","750","Administration of Justice","754","Criminal justice assistance","10","Personnel compensation and benefits","130","Benefits for former personnel"
107175.46,"2018-04-01","350","Agriculture","351","Farm income stabilization","40","Grants and fixed charges","430","Interest and dividends"
94103498.94,"2018-04-01","450","Community and Regional Development","451","Community development","10","Personnel compensation and benefits","111","Full-time permanent"
24097564.04,"2018-04-01","270","Energy","276","Energy information, policy, and regulation","20","Contractual services and supplies","210","Travel and transportation of persons"
108995.7,"2018-04-01","150","International Affairs","154","Foreign information and exchange activities","20","Contractual services and supplies","255","Research and development contracts"
1026475792.28,"2018-04-01","300","Natural Resources and Environment","302","Conservation and land management","20","Contractual services and supplies","255","Research and development contracts"
654967.53,"2018-04-01","570","Medicare","571","Medicare","10","Personnel compensation and benefits","113","Other than full-time permanent"
19707.6,"2018-04-01","600","Income Security","601","General retirement and disability insurance (excluding social se","20","Contractual services and supplies","255","Research and development contracts"
20363218.87,"2018-04-01","270","Energy","272","Energy conservation","20","Contractual services and supplies","253","Other goods and services from Federal sources"
0,"2018-04-01","270","Energy","272","Energy conservation","20","Contractual services and supplies","256","Medical care"
214695127.04,"2018-04-01","300","Natural Resources and Environment","302","Conservation and land management","90","Other","940","Financial transfers"
1571169.81,"2018-04-01","750","Administration of Justice","754","Criminal justice assistance","10","Personnel compensation and benefits","115","Other personnel compensation"
785501914.26,"2018-04-01","550","Health","554","Consumer and occupational health and safety","10","Personnel compensation and benefits","121","Civilian personnel benefits"
47702496.73,"2018-04-01","300","Natural Resources and Environment","302","Conservation and land management","20","Contractual services and supplies","256","Medical care"
18351106.61,"2018-04-01","270","Energy","272","Energy conservation","10","Personnel compensation and benefits","121","Civilian personnel benefits"
20778.53,"2018-04-01","270","Energy","272","Energy conservation","20","Contractual services and supplies","257","Operation and maintenance of equipment"
76575621613.92,"2018-04-01","600","Income Security","605","Food and nutrition assistance","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
0,"2018-04-01","550","Health","551","Health care services","30","Acquisition of assets","330","Investments and loans"
3199385.15,"2018-04-01","270","Energy","274","Emergency energy preparedness","10","Personnel compensation and benefits","121","Civilian personnel benefits"
126585.14,"2018-04-01","500","Education, Training, Employment, and Social Services","503","Research and general education aids","90","Other","920","Undistributed"
7780487.49,"2018-04-01","550","Health","552","Health research and training","10","Personnel compensation and benefits","117","Military personnel"
30498838.69,"2018-04-01","270","Energy","271","Energy supply","20","Contractual services and supplies","232","Rental payments to others"
255653405.49,"2018-04-01","550","Health","551","Health care services","10","Personnel compensation and benefits","117","Military personnel"
5224565.54,"2018-04-01","570","Medicare","571","Medicare","20","Contractual services and supplies","257","Operation and maintenance of equipment"
