"Agency","Subagency","Title","federal_account_id","q","fy","reporting_period_end","Obligation","Unobligated"
"Department of Agriculture","Risk Management Agency","Federal Crop Insurance Corporation Fund, Risk Management Agency, Agriculture",3564,"2","2017","2017-03-31",5514974342.61,7476269293.07
"Department of Agriculture","Rural Business_Cooperative Service","Alternative Agricultural Research and Commercialization Revolving Fund, Rural Business-Cooperative Service, Agriculture",3568,"2","2017","2017-03-31",0,1065703.96
"Department of Agriculture","Rural Business_Cooperative Service","Biorefinery Assistance Program Account, Rural Business - Cooperative Service, Agriculture",3534,"2","2017","2017-03-31",0,151252991.13
"Department of Agriculture","Rural Business_Cooperative Service","Energy Assistance Payments, Rural Business - Cooperative Service, Agriculture",3516,"2","2017","2017-03-31",0,29322328.6
"Department of Agriculture","Rural Business_Cooperative Service","Intermediary Relending Program Fund Account, Rural Business-Cooperative Service, Agriculture",3515,"2","2017","2017-03-31",0,23756380.29
"Department of Agriculture","Rural Business_Cooperative Service","Renewable Energy Program, Rural Business-Cooperative Service, Agriculture",3503,"2","2017","2017-03-31",0,67431645.85
"Department of Agriculture","Rural Business_Cooperative Service","Rural Business and Industry Loans Program Account, Rural Business and Cooperative Development Service",3501,"2","2017","2017-03-31",0,103842533.38
"Department of Agriculture","Rural Business_Cooperative Service","Rural Business Investment Program Account, Rural Business - Cooperative Service, Agriculture",3502,"2","2017","2017-03-31",0,2092473
"Department of Agriculture","Rural Business_Cooperative Service","Rural Cooperative Development Grants, Rural Business-Cooperative Service, Agriculture",3500,"2","2017","2017-03-31",0,42182498.92
"Department of Agriculture","Rural Business_Cooperative Service","Rural Development Loan Fund, Liquidating Account, Rural Business-Cooperative Service, Agriculture",3572,"2","2017","2017-03-31",0,2280485.39
"Department of Agriculture","Rural Business_Cooperative Service","Rural Economic Development Grants, Rural Business-Cooperative Service, Agriculture",3533,"2","2017","2017-03-31",0,316470477.32
"Department of Agriculture","Rural Business_Cooperative Service","Rural Economic Development Loans Program Account, Rural Business-Cooperative Service, Agriculture",3535,"2","2017","2017-03-31",0,7094502.58
"Department of Agriculture","Rural Business_Cooperative Service","Rural Microenterprise Investment Program Account, Rural Business-Cooperative Service, Agriculture",3508,"2","2017","2017-03-31",0,3672272.96
"Department of Agriculture","Rural Business-Cooperative Service","Healthy Foods Financing Initiative, Rural Business-Cooperative Service, Agriculture",3415,"2","2017","2017-03-31",NA,NA
"Department of Agriculture","Rural Development","Salaries and Expenses, Rural Development, Agriculture",3446,"2","2017","2017-03-31",335756424.28,81424482.94
"Department of Agriculture","Rural Housing Service","Community Facility Loans Program Account, Rural Housing and Community Development Service",3505,"2","2017","2017-03-31",0,56654596.89
"Department of Agriculture","Rural Housing Service","Expenses, Rural Housing Assistance Grants, Rural Housing Service",3506,"2","2017","2017-03-31",0,36968512.39
"Department of Agriculture","Rural Housing Service","Mutual and Self-Help Housing Grants, Rural Housing Service, Agriculture",3512,"2","2017","2017-03-31",0,41813132.64
"Department of Agriculture","Rural Housing Service","Rental Assistance Program, Rural Housing Service, Agriculture",3436,"2","2017","2017-03-31",0,1414215396.52
"Department of Agriculture","Rural Housing Service","Rural Housing Insurance Fund Program Account, Rural Housing Service, Agriculture",3517,"2","2017","2017-03-31",0,609929336.7
"Department of Agriculture","Rural Housing Service","Rural Housing Insurance Fund, Liquidating Account, Rural Housing Service, Agriculture",3566,"2","2017","2017-03-31",0,81102203.52
"Department of Agriculture","Rural Housing Service","Rural Rental Assistance Payments, Rural Housing Service, Agriculture",3511,"2","2017","2017-03-31",0,49239255.82
"Department of Agriculture","Rural Utilities Service","Distance Learning, Telemedicine and Broadband Program, Rural Utilities Service, Agriculture",3483,"2","2017","2017-03-31",0,98656766.27
"Department of Agriculture","Rural Utilities Service","High Energy Cost Grants, Rural Utilities Service, Agriculture",3513,"2","2017","2017-03-31",0,20297455.47
"Department of Agriculture","Rural Utilities Service","Rural Development Insurance Fund, Liquidating Account, Rural Utilities Service, Agriculture",3569,"2","2017","2017-03-31",0,185000
"Department of Agriculture","Rural Utilities Service","Rural Electrification and Telecommunications Loans Program Account, Rural Utilities Service, Agriculture",3481,"2","2017","2017-03-31",0,63043195.7
"Department of Agriculture","Rural Utilities Service","Rural Electrification and Telephone Revolving Fund, Liquidating Account, Rural Utilities Service, Agriculture",3571,"2","2017","2017-03-31",0,2159591000
"Department of Agriculture","Rural Utilities Service","Rural Telephone Bank Program Account, Rural Utilities Service, Agriculture",3482,"2","2017","2017-03-31",0,2850515.05
"Department of Agriculture","Rural Utilities Service","Rural Water and Waste Disposal Loans Program Account, Rural Utilities Service",3510,"2","2017","2017-03-31",0,679144546.85
"Department of Commerce","Bureau of Economic Analysis","Economics and Statistics Administration Revolving Fund, Economic and Statistical Analysis, Commerce",3700,"2","2017","2017-03-31",576673.38,2397247.62
"Department of Commerce","Bureau of Economic Analysis","Salaries and Expenses, Economic and Statistical Analysis, Commerce",3693,"2","2017","2017-03-31",56255623.57,21193394.95
"Department of Commerce","Bureau of Industry and Security","Operations and Administration, Bureau of Industry and Security, Commerce",3665,"2","2017","2017-03-31",46790652.85,29301616.27
"Department of Commerce","Bureau of the Census","Census Working Capital Fund, Bureau of the Census, Commerce",3706,"2","2017","2017-03-31",408945562.38,772614142.58
"Department of Commerce","Bureau of the Census","Current Surveys and Programs, Bureau of the Census, Commerce",3666,"2","2017","2017-03-31",138424638.44,41861598.69
"Department of Commerce","Bureau of the Census","Periodic Censuses and Programs, Bureau of the Census, Commerce",3667,"2","2017","2017-03-31",467626507.66,355914718.45
"Department of Commerce","Departmental Management","Gifts and Bequests, Departmental Management, Commerce",3736,"2","2017","2017-03-31",3086634.03,1674397.83
"Department of Commerce","Departmental Management","Office of Inspector General - Recovery Act, Departmental Management, Commerce",3655,"2","2017","2017-03-31",141483.26,1457019.33
"Department of Commerce","Departmental Management","Office of Inspector General, Departmental Management, Commerce",3663,"2","2017","2017-03-31",19661140.3,14149848.87
"Department of Commerce","Departmental Management","Renovation and Modernization, Departmental Management, Commerce",3660,"2","2017","2017-03-31",667587.29,11103567.11
"Department of Commerce","Departmental Management","Salaries and Expenses, Departmental Management, Commerce",3657,"2","2017","2017-03-31",65595150.88,82644700.45
"Department of Commerce","Departmental Management","Working Capital Fund, Departmental Management, Commerce",3705,"2","2017","2017-03-31",88388202.93,145128918.93
"Department of Commerce","Economic Development Administration","Economic Development Assistance Programs, Economic Development Administration, Commerce",3694,"2","2017","2017-03-31",53150030.94,182493007.58
"Department of Commerce","Economic Development Administration","Economic Development Revolving Fund, Liquidating Account, Commerce",3702,"2","2017","2017-03-31",0,600000
"Department of Commerce","Economic Development Administration","Salaries and Expenses, Economic Development Administration, Commerce",3662,"2","2017","2017-03-31",20864835.28,15635700.38
"Department of Commerce","International Trade Administration","Grants to Manufacturers of Worsted Wool Fabrics, International Trade Commission, Commerce",3718,"2","2017","2017-03-31",0,1
"Department of Commerce","International Trade Administration","Operations and Administration, International Trade Administration, Commerce",3683,"2","2017","2017-03-31",232398630.34,139304774.27
"Department of Commerce","Minority Business Development Agency","Minority Business Development, Minority Business Development Agency, Commerce",3664,"2","2017","2017-03-31",11793579.43,14283261.42
"Department of Commerce","National Institute of Standards and Technology","Construction of Research Facilities, National Institute of Standards and Technology, Commerce",3672,"2","2017","2017-03-31",26970576.86,70484210.35
"Department of Commerce","National Institute of Standards and Technology","Industrial Technology Services, National Institute of Standards and Technology, Commerce",3674,"2","2017","2017-03-31",63486298.22,69762459.61
"Department of Commerce","National Institute of Standards and Technology","Scientific and Technical Research and Services - Recovery Act, National Institute of Standards and Technology, Commerce",3675,"2","2017","2017-03-31",0,112732.89
"Department of Commerce","National Institute of Standards and Technology","Scientific and Technical Research and Services, National Institute of Standards and Technology, Commerce",3669,"2","2017","2017-03-31",284880291.25,139926200.9
"Department of Commerce","National Institute of Standards and Technology","Wireless Innovation(WIN) Fund, National Institute of Standards and Technology, Commerce",3670,"2","2017","2017-03-31",10299855.24,265093550.96
"Department of Commerce","National Institute of Standards and Technology","Working Capital Fund, National Institute of Standards and Technology, Commerce",3708,"2","2017","2017-03-31",67803131.96,173148022.3
"Department of Commerce","National Oceanic and Atmospheric Administration","Coastal Impact Assistance, National Oceanic and Atmospheric Administration, Commerce",3691,"2","2017","2017-03-31",0,55290.97
"Department of Commerce","National Oceanic and Atmospheric Administration","Coastal Zone Management Fund, National Oceanic Atmospheric Administration, Commerce",3698,"2","2017","2017-03-31",0,0
