"source","target","value","type"
"LEASE/RENTAL OF PARKING FACILITIES","Department of Veterans Affairs",161400,"contract"
"LEASE/RENTAL OF PARKING FACILITIES","Offices, Boards and Divisions",122990.4,"contract"
"LEASE/RENTAL OF PARKING FACILITIES","Agricultural Research Service",47966,"contract"
"LEASE/RENTAL OF PARKING FACILITIES","Mine Safety and Health Administration",21600,"contract"
"LEASE/RENTAL OF PARKING FACILITIES","National Oceanic and Atmospheric Administration",9301,"contract"
"LEASE/RENTAL OF RECREATIONAL BUILDINGS","Department of the Army",76557.96,"contract"
"LEASE/RENTAL OF RECREATIONAL BUILDINGS","U.S. Coast Guard",14320.8,"contract"
"LEASE/RENTAL OF RECREATIONAL BUILDINGS","Department of the Navy",3675,"contract"
"LEASE/RENTAL OF SCHOOLS","U.S. Citizenship and Immigration Services",7647.5,"contract"
"LEASE/RENTAL OF TROOP HOUSING FACILITIES","Forest Service",3650,"contract"
"LECTURES FOR TRAINING","Bureau of Indian Affairs and Bureau of Indian Education",1379210.28,"contract"
"LECTURES FOR TRAINING","Department of the Army",578821.95,"contract"
"LECTURES FOR TRAINING","Department of Veterans Affairs",107750,"contract"
"LECTURES FOR TRAINING","Federal Prison System / Bureau of Prisons",75769.5,"contract"
"LECTURES FOR TRAINING","Department of the Navy",71550,"contract"
"LEGAL SERVICES","Federal Prison System / Bureau of Prisons",75083.32,"contract"
"LEGAL SERVICES","Offices, Boards and Divisions",57981.8,"contract"
"LIFE SCIENCES (BASIC)","Defense Advanced Research Projects Agency",3760086.36,"contract"
"LIFE SCIENCES (BASIC)","National Aeronautics and Space Administration",1877192,"contract"
"LIFE SCIENCES (BASIC)","Department of Veterans Affairs",178194.53,"contract"
"LIFE SCIENCES (BASIC)","Centers for Disease Control and Prevention",85323.92,"contract"
"LIFE SCIENCES (BASIC)","Agricultural Research Service",27440,"contract"
"LIFE SCIENCES (ENGINEERING)","Department of the Army",250000,"contract"
"LIVE ANIMALS, NOT RAISED FOR FOOD","National Institutes of Health",594126.24,"contract"
"LIVE ANIMALS, NOT RAISED FOR FOOD","Agricultural Research Service",238141.44,"contract"
"LIVE ANIMALS, NOT RAISED FOR FOOD","Department of the Navy",144161.04,"contract"
"LIVE ANIMALS, NOT RAISED FOR FOOD","Food and Drug Administration",25600,"contract"
"LIVE ANIMALS, NOT RAISED FOR FOOD","Health Resources and Services Administration",20260,"contract"
"LOGISTICS SUPPORT SERVICES","National Aeronautics and Space Administration",6168460.55,"contract"
"LOGISTICS SUPPORT SERVICES","Department of Education",1475533,"contract"
"LOGISTICS SUPPORT SERVICES","Department of the Navy",24000,"contract"
"LOGISTICS SUPPORT SERVICES","U.S. Geological Survey",4327.14,"contract"
"MAINT-REP OF ELECT-ELCT EQ","Smithsonian Institution",21460,"contract"
"MAINT-REP OF ELECT-ELCT EQ","National Oceanic and Atmospheric Administration",1025.33,"contract"
"MAINT-REP OF SHIP & MARINE EQ","Maritime Administration",25000,"contract"
"MAINT/REPAIR/REBUILD OF EQUIPMENT- ADP EQUIPMENT/SOFTWARE/SUPPLIES/SUPPORT EQUIPMENT","National Oceanic and Atmospheric Administration",22000,"contract"
"MAINT/REPAIR/REBUILD OF EQUIPMENT- INSTRUMENTS AND LABORATORY EQUIPMENT","National Institutes of Health",19999.8,"contract"
"MAINT/REPAIR/REBUILD OF EQUIPMENT- INSTRUMENTS AND LABORATORY EQUIPMENT","Forest Service",6979.95,"contract"
"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES","Department of Veterans Affairs",59356.96,"contract"
"MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS","Department of the Navy",11784,"contract"
"MAINT/REPAIR/REBUILD OF EQUIPMENT- NONMETALLIC FABRICATED MATERIALS","Smithsonian Institution",7000,"contract"
"MAINT/REPAIR/REBUILD OF EQUIPMENT- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT","Agricultural Research Service",13291.8,"contract"
"MAINT/REPAIR/REBUILD OF EQUIPMENT- PUMPS AND COMPRESSORS","Environmental Protection Agency",23925.12,"contract"
"MAINT/REPAIR/REBUILD OF EQUIPMENT- REFRIGERATION, AIR CONDITIONING, AND AIR CIRCULATING EQUIPMENT","Agricultural Research Service",10722.01,"contract"
"MAINTENANCE OF MISCELLANEOUS BUILDINGS","National Oceanic and Atmospheric Administration",12903.6,"contract"
"MAINTENANCE OF OFFICE BUILDINGS","Forest Service",6000,"contract"
"MAINTENANCE OF OTHER NON-BUILDING FACILITIES","Agricultural Research Service",167939,"contract"
"MANPOWER STUDIES","U.S. Secret Service",2094631.54,"contract"
"MARINE AND OCEANOGRAPHIC (BASIC)","Department of the Navy",125918.88,"contract"
"MARKET RESEARCH & PUBLIC OPINION SE","Securities and Exchange Commission",1076685,"contract"
"MARKET RESEARCH & PUBLIC OPINION SE","U.S. Census Bureau",203361.88,"contract"
"MARKET RESEARCH & PUBLIC OPINION SE","Centers for Disease Control and Prevention",149962,"contract"
"MARKET RESEARCH & PUBLIC OPINION SE","Office of the Assistant Secretary for Administration",100000,"contract"
"MAT HANDLING EQ - NONSELF-PROPELLED","Department of the Army",25000,"contract"
"MEDICAL AND HEALTH STUDIES","Centers for Disease Control and Prevention",6370696.18,"contract"
"MEDICAL AND HEALTH STUDIES","Health Resources and Services Administration",1368513.4,"contract"
"MEDICAL AND HEALTH STUDIES","National Institutes of Health",1164452,"contract"
"MEDICAL AND HEALTH STUDIES","Food and Drug Administration",1082708,"contract"
"MEDICAL AND HEALTH STUDIES","Department of Veterans Affairs",688624.6,"contract"
"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES","Department of Veterans Affairs",1157744.7,"contract"
"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES","Department of the Army",285542,"contract"
"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES","National Institutes of Health",35000,"contract"
"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES","Defense Health Agency",21000,"contract"
"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES","Department of the Navy",6801,"contract"
"MEDICAL- DENTISTRY","Department of Veterans Affairs",300210.12,"contract"
"MEDICAL- DERMATOLOGY","Department of Veterans Affairs",1646675.96,"contract"
"MEDICAL- GASTROENTEROLOGY","Department of Veterans Affairs",1249710.72,"contract"
"MEDICAL- GERIATRIC","Department of Veterans Affairs",11074,"contract"
"MEDICAL- GYNECOLOGY","Department of Veterans Affairs",567854.55,"contract"
"MEDICAL- GYNECOLOGY","Indian Health Service",47746.5,"contract"
"MEDICAL- HEMATOLOGY","Health Resources and Services Administration",10961528,"contract"
"MEDICAL- HEMATOLOGY","Department of Veterans Affairs",1930054.48,"contract"
"MEDICAL- HEMATOLOGY","Defense Health Agency",15000,"contract"
"MEDICAL- LABORATORY TESTING","Department of Veterans Affairs",15072525.59,"contract"
"MEDICAL- LABORATORY TESTING","National Institutes of Health",1735484.53,"contract"
"MEDICAL- LABORATORY TESTING","Centers for Disease Control and Prevention",771936.41,"contract"
"MEDICAL- LABORATORY TESTING","Department of the Army",314557.22,"contract"
"MEDICAL- LABORATORY TESTING","Department of the Navy",250000,"contract"
"MEDICAL- NEUROLOGY","Department of Veterans Affairs",5227344.07,"contract"
"MEDICAL- NEUROLOGY","National Institutes of Health",24978.36,"contract"
"MEDICAL- OPHTHALMOLOGY","Department of Veterans Affairs",5146127.37,"contract"
"MEDICAL- OPHTHALMOLOGY","Indian Health Service",72000,"contract"
"MEDICAL- OTOLARYNGOLOGY","Department of Veterans Affairs",3646739.68,"contract"
"MEDICAL- PHARMACOLOGY","Department of Veterans Affairs",930601.77,"contract"
"MEDICAL- PODIATRY","Department of Veterans Affairs",140707.81,"contract"
"MEDICAL- PSYCHIATRY","Federal Prison System / Bureau of Prisons",96442.5,"contract"
"MEDICAL- PSYCHIATRY","Indian Health Service",94422.31,"contract"
"MEDICAL- PSYCHIATRY","Offices, Boards and Divisions",27981.07,"contract"
"MEDICAL- PSYCHIATRY","National Oceanic and Atmospheric Administration",12000,"contract"
"MEDICAL- PULMONARY","Department of Veterans Affairs",1615424.65,"contract"
"MEDICAL- RADIOLOGY","Department of Veterans Affairs",33309539.16,"contract"
"MEDICAL- RADIOLOGY","Indian Health Service",66157.75,"contract"
"MEDICAL- SURGERY","Department of Veterans Affairs",26343979.76,"contract"
"MEDICAL- SURGERY","Indian Health Service",327600,"contract"
"MEDICAL- SURGERY","Federal Prison System / Bureau of Prisons",198378.46,"contract"
"MEDICAL- SURGERY","Defense Health Agency",38332.8,"contract"
"MEDICAL- THORACIC","Department of Veterans Affairs",4287884.35,"contract"
"MEDICAL/PSYCH CONSULTATION SVCS","Federal Prison System / Bureau of Prisons",1086191.35,"contract"
"MEDICAL/PSYCH CONSULTATION SVCS","Department of Veterans Affairs",165015,"contract"
"MENTAL HEALTH (BASIC)","Department of Veterans Affairs",879857.95,"contract"
"MENTAL HEALTH (BASIC)","Centers for Disease Control and Prevention",36480,"contract"
"METEOROLOG INSTRUMENTS & APPARATUS","National Oceanic and Atmospheric Administration",19785,"contract"
"MINING SAFETY (APPLIED/EXPLORATORY)","Centers for Disease Control and Prevention",999174,"contract"
"MISC COMMUNICATION EQ","Department of the Army",30000,"contract"
"MISC COMMUNICATION EQ","National Institutes of Health",5000,"contract"
"MISC PREFABRICATED STRUCTURES","National Oceanic and Atmospheric Administration",15861,"contract"
"MISC SERVICE & TRADE EQ","Department of the Army",149600,"contract"
"MISC SERVICE & TRADE EQ","Agricultural Research Service",16599.26,"contract"
"MISC SHIP & MARINE EQ","Maritime Administration",25000,"contract"
"MISCELLANEOUS CHEMICAL SPECIALTIES","National Oceanic and Atmospheric Administration",11380,"contract"
"MISCELLANEOUS ELECTRIC POWER AND DISTRIBUTION EQUIPMENT","Smithsonian Institution",14716.4,"contract"
"MISCELLANEOUS ENGINES AND COMPONENTS","National Aeronautics and Space Administration",25403,"contract"
"MISCELLANEOUS PRINTED MATTER","U.S. Army Corps of Engineers - Civil Program Financing Only",17400,"contract"
"MISCELLANEOUS PRINTED MATTER","Department of the Army",6825,"contract"
"MISCELLANEOUS PRINTED MATTER","Forest Service",4000,"contract"
"MISCELLANEOUS VEHICULAR COMPONENTS","National Aeronautics and Space Administration",849829,"contract"
"MISCELLANEOUS WEAPONS","U.S. Customs and Border Protection",4120,"contract"
"MSC ELECT & ELECTRONIC COMPONENTS","National Aeronautics and Space Administration",99446,"contract"
"NATURAL RESOURCES/CONSERVATION- FISHERIES RESOURCES MANAGEMENT","National Oceanic and Atmospheric Administration",1293014.01,"contract"
"NATURAL RESOURCES/CONSERVATION- OTHER FOREST/RANGE IMPROVEMENTS (NON-CONSTRUCTION)","Forest Service",3000,"contract"
"NATURAL RESOURCES/CONSERVATION- OTHER WILDLIFE MANAGEMENT","Department of the Navy",141010,"contract"
"NATURAL RESOURCES/CONSERVATION- OTHER WILDLIFE MANAGEMENT","Forest Service",38000,"contract"
"NATURAL RESOURCES/CONSERVATION- SEED COLLECTION/PRODUCTION","Environmental Protection Agency",8760,"contract"
"NATURAL RESOURCES/CONSERVATION- SITE PREPARATION","Federal Aviation Administration",8569,"contract"
"NEWSPAPERS AND PERIODICALS","Animal and Plant Health Inspection Service",59000,"contract"
"NEWSPAPERS AND PERIODICALS","Department of the Navy",50530.67,"contract"
"NEWSPAPERS AND PERIODICALS","Department of the Army",14500,"contract"
"NEWSPAPERS AND PERIODICALS","U.S. Army Corps of Engineers - Civil Program Financing Only",9870,"contract"
"NEWSPAPERS AND PERIODICALS","Office of the Chief Economist",8200,"contract"
"NON-NUCLEAR SHIP REPAIR (EAST)","Maritime Administration",338591,"contract"
"NON-NUCLEAR SHIP REPAIR (EAST)","Department of the Navy",85709.37,"contract"
"NON-NUCLEAR SHIP REPAIR (WEST)","Maritime Administration",259296.74,"contract"
"NUCLEAR MEDICINE","Department of Veterans Affairs",696919.13,"contract"
"OFFICE SUPPLIES","Department of State",28000,"contract"
"OFFICE SUPPLIES","Agency for International Development",12600,"contract"
"OPER OF GOVT R&D GOCO FACILITIES","Department of Energy",1885617847.05,"contract"
"OPER OF GOVT R&D GOCO FACILITIES","Federal Bureau of Investigation",145592.52,"contract"
"OPER OF GOVT R&D GOCO FACILITIES","National Science Foundation",92266.02,"contract"
"OPER OF GOVT R&D GOCO FACILITIES","Department of the Navy",33728.72,"contract"
"OPER OF GOVT R&D GOCO FACILITIES","Department of Agriculture",3195.54,"contract"
"OPERATION OF CONFERENCE SPACE AND FACILITIES","Federal Highway Administration",80000,"contract"
"OPERATION OF MUSEUMS AND EXHIBITION BUILDINGS","Bureau of Reclamation",5252,"contract"
"OPERATION OF MUSEUMS AND EXHIBITION BUILDINGS","Department of Energy",4934.12,"contract"
"OPERATION OF OTHER EDUCATIONAL BUILDINGS","Bureau of Reclamation",63426,"contract"
"OPTICAL INSTRUMENTS","National Aeronautics and Space Administration",201788,"contract"
"OPTICAL INSTRUMENTS","Department of the Navy",9490,"contract"
"ORTHOPEDIC SERVICES","Department of Veterans Affairs",3400299,"contract"
"OTHER ADMINISTRATIVE SUPPORT SVCS","Department of the Army",2507096.66,"contract"
"OTHER ADMINISTRATIVE SUPPORT SVCS","Office of the Assistant Secretary for Administration",1955026.89,"contract"
"OTHER ADMINISTRATIVE SUPPORT SVCS","Executive Office of the President",1237087,"contract"
"OTHER ADMINISTRATIVE SUPPORT SVCS","National Institutes of Health",319576.8,"contract"
"OTHER ADMINISTRATIVE SUPPORT SVCS","Department of Veterans Affairs",136440.04,"contract"
"OTHER ADP & TELECOMMUNICATIONS SVCS","National Aeronautics and Space Administration",8130666.78,"contract"
"OTHER ADP & TELECOMMUNICATIONS SVCS","Environmental Protection Agency",1303792.43,"contract"
"OTHER ADP & TELECOMMUNICATIONS SVCS","Bureau of Reclamation",580095.64,"contract"
"OTHER ADP & TELECOMMUNICATIONS SVCS","Defense Threat Reduction Agency",491228,"contract"
"OTHER ADP & TELECOMMUNICATIONS SVCS","Department of State",150000,"contract"
"OTHER AGRICULTURE (ADVANCED)","Department of Veterans Affairs",9792.68,"contract"
"OTHER AGRICULTURE (BASIC)","Farm Service Agency",349982,"contract"
"OTHER AGRICULTURE (BASIC)","National Aeronautics and Space Administration",24665.75,"contract"
"OTHER AGRICULTURE (BASIC)","Agricultural Research Service",18773.81,"contract"
"OTHER AGRICULTURE (BASIC)","Department of Veterans Affairs",15880,"contract"
"OTHER AGRICULTURE (BASIC)","Forest Service",1463.78,"contract"
"OTHER CARGO AND FREIGHT SERVICES","National Oceanic and Atmospheric Administration",8340.72,"contract"
"OTHER DEFENSE (BASIC)","Defense Advanced Research Projects Agency",21454260,"contract"
"OTHER DEFENSE (BASIC)","Department of the Army",1226908,"contract"
"OTHER DEFENSE (BASIC)","Department of the Navy",570441.33,"contract"
"OTHER DEFENSE (ENGINEERING)","Department of the Army",5146030.97,"contract"
"OTHER DEFENSE (ENGINEERING)","Department of the Air Force",499980,"contract"
"OTHER DEFENSE (OPERATIONAL)","Department of the Air Force",1329647.81,"contract"
"OTHER ED & TRNG SVCS","Office of Assistant Secretary for Preparedness and Response",6967825.92,"contract"
"OTHER ED & TRNG SVCS","Department of the Navy",1102938.82,"contract"
"OTHER ED & TRNG SVCS","Department of Veterans Affairs",1028596.84,"contract"
"OTHER ED & TRNG SVCS","Indian Health Service",1006854,"contract"
"OTHER ED & TRNG SVCS","National Park Service",747591.69,"contract"
"OTHER ENERGY (ENGINEERING)","Department of the Navy",49827,"contract"
"OTHER ENVIRONMENTAL SERVICES","Bureau of Land Management",5542878.58,"contract"
"OTHER ENVIRONMENTAL SERVICES","National Oceanic and Atmospheric Administration",4245596.93,"contract"
"OTHER ENVIRONMENTAL SERVICES","Department of Energy",106909,"contract"
"OTHER ENVIRONMENTAL SERVICES","U.S. Geological Survey",104050,"contract"
"OTHER ENVIRONMENTAL SERVICES","U.S. Fish and Wildlife Service",80275,"contract"
"OTHER MANAGEMENT SUPPORT SERVICES","Centers for Disease Control and Prevention",5505977,"contract"
"OTHER MANAGEMENT SUPPORT SERVICES","Agency for Healthcare Research and Quality",2165398,"contract"
"OTHER MANAGEMENT SUPPORT SERVICES","Bureau of Labor Statistics",270354,"contract"
"OTHER MANAGEMENT SUPPORT SERVICES","Defense Threat Reduction Agency",101103.96,"contract"
"OTHER MANAGEMENT SUPPORT SERVICES","Office of Health Affairs",90130,"contract"
"OTHER MEDICAL (BASIC)","Department of Veterans Affairs",3132840.01,"contract"
"OTHER MEDICAL (BASIC)","Department of the Army",1034894.41,"contract"
"OTHER MEDICAL (BASIC)","Centers for Disease Control and Prevention",952994,"contract"
"OTHER MEDICAL (BASIC)","Agricultural Research Service",6039,"contract"
"OTHER MEDICAL (ENGINEERING)","Department of Veterans Affairs",9995,"contract"
"OTHER MEDICAL SERVICES","Federal Prison System / Bureau of Prisons",21082724.9,"contract"
"OTHER MEDICAL SERVICES","Department of Veterans Affairs",5278072.52,"contract"
"OTHER MEDICAL SERVICES","Indian Health Service",3197709.85,"contract"
"OTHER MEDICAL SERVICES","Centers for Disease Control and Prevention",731932,"contract"
"OTHER MEDICAL SERVICES","Department of the Army",713702.96,"contract"
"OTHER MINING ACTIVITIES (ADVANCED)","Centers for Disease Control and Prevention",546006,"contract"
"OTHER NAT RES MGMT & CONSERV","Forest Service",52539.01,"contract"
"OTHER NAT RES MGMT & CONSERV","Animal and Plant Health Inspection Service",9000,"contract"
"OTHER NAT RES MGMT & CONSERV","Department of the Army",8906.57,"contract"
"OTHER NAT RES MGMT & CONSERV","U.S. Army Corps of Engineers - Civil Program Financing Only",8666.31,"contract"
"OTHER NAT RES MGMT & CONSERV","Bureau of Land Management",742,"contract"
"OTHER PROFESSIONAL SERVICES","Centers for Medicare and Medicaid Services",52834129.82,"contract"
"OTHER PROFESSIONAL SERVICES","Centers for Disease Control and Prevention",45031587.3,"contract"
"OTHER PROFESSIONAL SERVICES","National Institutes of Health",23706097.96,"contract"
"OTHER PROFESSIONAL SERVICES","Department of the Air Force",23019361.24,"contract"
"OTHER PROFESSIONAL SERVICES","U.S. Special Operations Command",16683675.75,"contract"
"OTHER QC SVCS/CHEMICAL PRODUCTS","Department of the Army",12980,"contract"
"OTHER QC SVCS/LIVE ANIMALS","Centers for Disease Control and Prevention",79929.47,"contract"
"OTHER QC SVCS/NONMETALIC FAB MAT","National Aeronautics and Space Administration",28564,"contract"
"OTHER QC/TEST/INSPECT- INSTRUMENTS AND LABORATORY EQUIPMENT","National Aeronautics and Space Administration",75000,"contract"
