"Agency","Subagency","accountID","Title","Obligation","Unobligated","federal_account_id"
"Department of Homeland Security","Transportation Security Administration",1897,"Federal Air Marshals, Transportation Security Administration,  Homeland Security",13749.12,10282430.03,5206
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1896,"Operations and Support, U.S. Immigration and Customs Enforcement, Homeland Security",3301018035,1184801886,5205
"Department of Homeland Security","U.S. Customs and Border Protection",1895,"Border Security Fencing, Infrastructure, and Technology, U.S. Customs and Border Protection, Homeland Security",11400734.78,159571200,5201
"Department of Homeland Security","U.S. Customs and Border Protection",1894,"Procurement, Construction, and Improvements, U.S. Customs and Border Protection, Homeland Security",160669646.4,817783160.1,5200
"Department of Homeland Security","U.S. Customs and Border Protection",1893,"Automation Modernization, U.S. Customs and Border Protection, Homeland Security",39027.54,42796426.35,5199
"Department of Homeland Security","U.S. Customs and Border Protection",1892,"Operations and Support, U.S. Customs and Border Protection, Homeland Security",6178708913,3679458680,5198
"Department of Homeland Security","National Protection and Programs Directorate",1891,"Office of Biometric Identity Management, National Protection and Programs Directorate, Homeland Security",1211009.95,167206063.2,5197
"Department of Homeland Security","Federal Emergency Management Agency",1890,"Office of Domestic Preparedness, Federal Emergency Management Agency, Homeland Security",0,0,5196
"Department of Homeland Security","Federal Law Enforcement Training Center",1889,"Procurement, Construction, and Improvements, Federal Law Enforcement Training Center, Homeland Security",10910477.69,232523361,5195
"Department of Homeland Security","Federal Law Enforcement Training Center",1888,"Operations and Support, Federal Law Enforcement Training Center, Homeland Security",175624154.5,207468205.6,5194
"Department of Homeland Security","Transportation Security Administration",1887,"Expenses, Transportation Security Administration, Border and Transportation Security, Homeland Security",2628.57,3514.18,5193
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1885,"Immigration and Customs Enforcement, Border and Transportation Security, Homeland Security",0,65237.44,5191
"Department of Homeland Security","U.S. Customs and Border Protection",1884,"Customs and Border Protection, USCS, Homeland Security",0,122011.45,5190
"Department of Homeland Security","Federal Emergency Management Agency",1883,"Flood Hazard Mapping and Risk Analysis Program, Federal Emergency Management Agency, Homeland Security",2192950.82,21042436.01,5189
"Department of Homeland Security","Federal Emergency Management Agency",1881,"Procurement, Construction, and Improvements, Federal Emergency Management Agency, Homeland Security",6040516.49,27829630.11,5187
"Department of Homeland Security","Federal Emergency Management Agency",1880,"Federal Assistance, Federal Emergency Management Agency, Homeland Security",107889424.8,2458845826,5186
"Department of Homeland Security","National Protection and Programs Directorate",1879,"Procurement, Construction, and Improvements, National Protection and Programs Directorate, Homeland Security",95253639.03,380703198.4,5185
"Department of Homeland Security","Domestic Nuclear Detection Office",1878,"Federal Assistance, Domestic Nuclear Detection Office, Homeland Security",4038710.57,44250604.39,5184
"Department of Homeland Security","Transportation Security Administration",1877,"Procurement, Construction, and Improvements, Transportation Security Administration, Homeland Security",15539006.28,199597153.4,5183
"Department of Homeland Security","Citizenship and Immigration Services",1876,"Procurement, Construction, and Improvements, United States Citizenship and Immigration Services, Homeland Security",2001678.15,5207739.03,5182
"Department of Homeland Security","Office of the Under Secretary for Management",1875,"Procurement, Construction, and Improvements, Departmental Management and Operations, Homeland Security",33704630.58,50471015.48,5181
"Department of Homeland Security","United States Secret Service",1874,"Contribution for Annuity Benefits, United States Secret Service, Homeland Security",128098222.5,190709666.3,5180
"Department of Homeland Security","United States Secret Service",1871,"Procurement, Construction, and Improvements, United States Secret Service, Homeland Security",19117974.52,101985716.6,5177
"Department of Homeland Security","United States Secret Service",1870,"Operations and Support, United States Secret Service, Homeland Security",820590333.8,193707852.8,5176
"Department of Homeland Security","Citizenship and Immigration Services",1869,"Operations and Support, United States Citizenship and Immigration Services, Homeland Security",41366730.66,35477188.6,5175
"Department of Homeland Security","Office of the Inspector General",1867,"Operations and Support, Office of Inspector General, Homeland Security",99608091.11,45861898.75,5173
"Department of Homeland Security","Office of Health Affairs",1866,"Operations and Support, National Protection and Programs Directorate, Homeland Security",30239703.54,125084389.1,5171
"Department of Homeland Security","Analysis and Operations",1865,"Analysis and Operations, Operations and Support, Departmental Management and Operations, Homeland Security",102135317.2,83599274.73,5169
"Department of Homeland Security","Office of the Under Secretary for Management",1864,"Office of the Chief Information Officer, Departmental Management and Operations, Homeland Security",1102884.78,54484622.56,5168
"Department of Homeland Security","Office of the Under Secretary for Management",1863,"Office of the Under Secretary for Management, Operations and Support, Departmental Management and Operations, Homeland Security",262826032.8,260403358.6,5167
"Department of Homeland Security","Office of the Under Secretary for Management",1862,"Office of the Under Secretary for Management, Departmental Management and Operations, Homeland Security",224407.19,115656603.2,5166
"Department of Homeland Security","Office of the Secretary and Executive Management",1861,"Office of the Secretary and Executive Management, Departmental Management and Operations, Homeland Security",33807.89,7693914.98,5165
"Department of Homeland Security","Office of the Under Secretary for Management",1860,"Department-Wide Technology Investments, Departmental Management, Homeland Security",4015977.13,248709089.7,5164
"Department of Homeland Security","Office of the Secretary and Executive Management",1859,"Counterterrorism Fund, Departmental Management and Operations, Homeland Security",0,39687.35,5163
"Department of Homeland Security","Office of the Secretary and Executive Management",1858,"Office of the Secretary and Executive Management, Operations and Support, Departmental Management and Operations, Homeland Security",66557269.32,34844483.13,5162
"Department of Transportation","Federal Highway Administration",1857,"Equipment, Supplies, Etc., for Cooperating Countries, Federal Highway Administration, Transportation",0,6708.74,5160
"Department of Transportation","Federal Railroad Administration",1856,"High-Speed Ground Transportation, Liquidation of Contract Authorization, Federal Railroad Administration, Transportation",0,0,5159
"Department of Transportation","Office of the Secretary",1855,"Gifts and Bequests, Office of the Secretary, Transportation",0,100000,5158
"Department of Transportation","Maritime Administration",1854,"Special Studies, Services and Projects, Maritime Administration, Transportation",0,4198.07,5157
"Department of Transportation","Maritime Administration",1853,"Gifts and Bequests, Maritime Administration, Transportation",405570.66,9094429.34,5156
